ts;raw;calc
2017.06.28 19:28:55:671;27.44;21.54
2017.06.28 19:28:56:731;27.44;21.54
2017.06.28 19:28:57:834;27.44;21.54
2017.06.28 19:28:58:896;27.44;21.55
2017.06.28 19:28:59:982;27.44;21.55
2017.06.28 19:29:01:050;27.44;21.55
2017.06.28 19:29:02:133;27.44;21.55
2017.06.28 19:29:03:262;27.45;21.55
2017.06.28 19:29:04:322;27.45;21.55
2017.06.28 19:29:05:382;27.45;21.55
2017.06.28 19:29:06:445;27.45;21.55
2017.06.28 19:29:07:563;27.45;21.55
2017.06.28 19:29:08:623;27.45;21.55
2017.06.28 19:29:09:709;27.45;21.55
2017.06.28 19:29:10:840;27.45;21.55
2017.06.28 19:29:11:904;27.45;21.56
2017.06.28 19:29:12:987;27.46;21.56
2017.06.28 19:29:14:091;27.46;21.56
2017.06.28 19:29:15:152;27.46;21.56
2017.06.28 19:29:16:276;27.46;21.56
2017.06.28 19:29:17:336;27.46;21.56
2017.06.28 19:29:18:404;27.46;21.56
2017.06.28 19:29:19:543;27.46;21.56
2017.06.28 19:29:20:670;27.46;21.56
2017.06.28 19:29:21:734;27.46;21.56
2017.06.28 19:29:23:015;27.46;21.56
2017.06.28 19:29:24:151;27.46;21.56
2017.06.28 19:29:25:278;27.46;21.56
2017.06.28 19:29:26:404;27.45;21.56
2017.06.28 19:29:27:467;27.45;21.55
2017.06.28 19:29:28:529;27.45;21.55
2017.06.28 19:29:29:686;27.45;21.55
2017.06.28 19:29:30:808;27.45;21.55
2017.06.28 19:29:31:870;27.45;21.55
2017.06.28 19:29:32:932;27.45;21.55
2017.06.28 19:29:34:085;27.45;21.55
2017.06.28 19:29:35:162;27.45;21.55
2017.06.28 19:29:36:374;27.45;21.55
2017.06.28 19:29:37:493;27.45;21.55
2017.06.28 19:29:38:659;27.45;21.55
2017.06.28 19:29:39:724;27.45;21.55
2017.06.28 19:29:40:792;27.45;21.55
2017.06.28 19:29:41:958;27.45;21.55
2017.06.28 19:29:43:076;27.45;21.55
2017.06.28 19:29:44:224;27.45;21.55
2017.06.28 19:29:45:349;27.45;21.55
2017.06.28 19:29:46:414;27.45;21.55
2017.06.28 19:29:47:497;27.45;21.55
2017.06.28 19:29:48:567;27.45;21.55
2017.06.28 19:29:49:646;27.45;21.55
2017.06.28 19:29:50:776;27.45;21.55
2017.06.28 19:29:51:903;27.45;21.55
2017.06.28 19:29:53:029;27.45;21.55
2017.06.28 19:29:54:156;27.45;21.55
2017.06.28 19:29:55:281;27.45;21.55
2017.06.28 19:29:56:408;27.45;21.55
2017.06.28 19:29:57:535;27.45;21.55
2017.06.28 19:29:58:660;27.45;21.55
2017.06.28 19:29:59:722;27.45;21.55
2017.06.28 19:30:00:785;27.45;21.55
2017.06.28 19:30:01:945;27.45;21.55
2017.06.28 19:30:03:007;27.45;21.55
2017.06.28 19:30:04:068;27.45;21.55
2017.06.28 19:30:05:214;27.45;21.55
2017.06.28 19:30:06:340;27.45;21.55
2017.06.28 19:30:07:401;27.46;21.56
2017.06.28 19:30:08:462;27.46;21.56
2017.06.28 19:30:09:618;27.46;21.56
2017.06.28 19:30:10:743;27.46;21.56
2017.06.28 19:30:11:806;27.46;21.56
2017.06.28 19:30:12:891;27.46;21.56
2017.06.28 19:30:13:952;27.47;21.56
2017.06.28 19:30:15:044;27.47;21.56
2017.06.28 19:30:16:171;27.47;21.56
2017.06.28 19:30:17:394;27.46;21.56
2017.06.28 19:30:18:458;27.46;21.56
2017.06.28 19:30:19:547;27.46;21.56
2017.06.28 19:30:20:677;27.45;21.55
2017.06.28 19:30:21:737;27.45;21.55
2017.06.28 19:30:22:885;27.45;21.55
2017.06.28 19:30:23:936;27.45;21.55
2017.06.28 19:30:24:994;27.44;21.55
2017.06.28 19:30:26:104;27.44;21.55
2017.06.28 19:30:27:230;27.44;21.55
2017.06.28 19:30:28:356;27.44;21.55
2017.06.28 19:30:29:482;27.44;21.55
2017.06.28 19:30:30:542;27.44;21.55
2017.06.28 19:30:31:633;27.44;21.55
2017.06.28 19:30:32:760;27.44;21.55
2017.06.28 19:30:33:839;27.44;21.55
2017.06.28 19:30:35:012;27.44;21.54
2017.06.28 19:30:36:139;27.44;21.54
2017.06.28 19:30:37:265;27.44;21.54
2017.06.28 19:30:38:343;27.44;21.54
2017.06.28 19:30:39:518;27.44;21.55
2017.06.28 19:30:40:644;27.44;21.55
2017.06.28 19:30:41:771;27.44;21.55
2017.06.28 19:30:42:897;27.45;21.55
2017.06.28 19:30:43:959;27.45;21.55
2017.06.28 19:30:45:045;27.45;21.55
2017.06.28 19:30:46:109;27.45;21.55
2017.06.28 19:30:47:194;27.46;21.56
2017.06.28 19:30:48:325;27.46;21.56
2017.06.28 19:30:49:450;27.46;21.56
2017.06.28 19:30:50:577;27.46;21.56
2017.06.28 19:30:51:704;27.47;21.56
2017.06.28 19:30:52:829;27.47;21.57
2017.06.28 19:30:53:956;27.47;21.57
2017.06.28 19:30:55:083;27.47;21.57
2017.06.28 19:30:56:209;27.48;21.57
2017.06.28 19:30:57:336;27.48;21.57
2017.06.28 19:30:58:423;27.48;21.57
2017.06.28 19:30:59:516;27.48;21.58
2017.06.28 19:31:00:609;27.48;21.58
